White wine,,,,,
Regression method,Scaling,Seed,mae,r2,rmse
Linear regression,Standard,30,0.59,0.3,0.58
,,20,0.59,0.28,0.58
,,10,0.57,0.31,0.56
,Min max,30,1.25,-1.55,2.11
,,20,0.88,-0.45,1.18
,,10,0.78,-0.19,0.95
,Polynomial,30,0.58,0.29,0.59
,,20,0.58,0.3,0.56
,,10,0.56,0.26,0.6
,Normalized,30,0.6,0.29,0.58
,,20,0.59,0.29,0.58
,,10,0.58,0.31,0.55
Regression tree,Standard,30,0.7,-0.23,1.01
,,20,0.71,-0.26,1.02
,,10,0.72,-0.31,1.05
,Min max,30,0.78,-0.44,1.19
,,20,0.9,-0.85,1.5
,,10,1.01,-1.29,1.84
,Polynomial,30,0.7,-0.22,1
,,20,0.69,-0.23,0.99
,,10,0.71,-0.31,1.05
,Normalized,30,0.73,-0.28,1.06
,,20,0.74,-0.33,1.08
,,10,0.71,-0.29,1.04
